abondance,Gramme,Crémerie
abricot au sirop,Pot,Épicerie sucrée
abricot sec,Gramme,Épicerie sucrée
agneau,Gramme,Boucherie
aiguillette de canard,Gramme,Boucherie
aiguillette de dinde,Gramme,Boucherie
aiguillette de poulet,Gramme,Boucherie
ail,Pièce,Légumes
ail des ours,Cuillère à café,Légumes
ail en poudre,Cuillère à café,Légumes
aile de raie,Gramme,Poissonerie
aileron de poulet,Pièce,Boucherie
amandes effilées,Gramme,Épicerie sucrée
amandes entières,Gramme,Épicerie sucrée
ananas,Pièce,Fruits
anchois,Gramme,Poissonerie
andouillette,Gramme,Boucherie
anis étoilé,Cuillère à café,Épicerie salée
armagnac,Millilitre,Boisson
artichaut,Pièce,Légumes
asperge blanche,Botte,Légumes
asperge verte,Botte,Légumes
aubergine,Pièce,Légumes
avocat,Pièce,Légumes
avoine,Gramme,Épicerie sucrée
bacon,Gramme,Boucherie
bagel,Pièce,Boulangerie
baguette,Pièce,Boulangerie
banane,Pièce,Fruits
basilic,Botte,Légumes
basilic citron,Botte,Légumes
batavia,Pièce,Légumes
beaufort,Gramme,Crémerie
betterave,Gramme,Légumes
beurre,Gramme,Crémerie
bicarbonate,Cuillère à café,Épicerie sucrée
bière blonde,Millilitre,Boisson
bière brune,Millilitre,Boisson
biscotte,Paquet,Boulangerie
biscuit à la cuillère,Paquet,Épicerie sucrée
blanc de dinde,Gramme,Boucherie
blanc de poireaux,Pièce,Légumes
blanc de poulet,Gramme,Boucherie
blé,Gramme,Épicerie salée
blette,Botte,Légumes
bleu,Gramme,Crémerie
Blini,Paquet,Crémerie
boeuf haché,Gramme,Boucherie
boudin blanc,Pièce,Boucherie
boudin noir,Pièce,Boucherie
boudoir,Paquet,Épicerie sucrée
bouillon de boeuf,Pièce,Épicerie salée
bouillon de légumes,Pièce,Épicerie salée
bouillon de poule,Pièce,Épicerie salée
bouillon de veau,Pièce,Épicerie salée
bouillon de volaille,Pièce,Épicerie salée
boulgour,Gramme,Épicerie salée
bouquet garni,Botte,Légumes
boursin,Gramme,Crémerie
brandade,Gramme,Poissonerie
Bretzel,Paquet,Apéritif
brie de meaux,Gramme,Crémerie
brioche,Sachet,Boulangerie
brocoli,Pièce,Légumes
brugnon,Pièce,Fruits
bûche de chèvre,Pièce,Crémerie
burrata,Pièce,Crémerie
butternut,Pièce,Légumes
cabillaud,Gramme,Poissonerie
cacao amer,Cuillère à café,Épicerie sucrée
cacao en poudre,Cuillère à café,Épicerie sucrée
café,Paquet,Épicerie sucrée
camembert,Gramme,Crémerie
cannelle,Cuillère à café,Épicerie salée
canneloni,Paquet,Épicerie salée
cantal,Gramme,Crémerie
câpres,Pot,Épicerie salée
caramel,Bouteille,Épicerie sucrée
carotte,Pièce,Légumes
cassonade,Cuillère à café,Épicerie sucrée
cassoulet,Pot,Traiteur
céleri branche,Pièce,Légumes
céleri-rave,Pièce,Légumes
cerises,Pièce,Fruits
cerneau de noix,Gramme,Fruits
chair à saucisse,Gramme,Boucherie
champignon de Paris,Gramme,Légumes
chapelure,Cuillère à soupe,Épicerie salée
cheddar,Gramme,Crémerie
cheddar rapé,Gramme,Crémerie
chèvre frais,Gramme,Crémerie
chipolata,Pièce,Boucherie
chips,Paquet,Apéritif
chips tortilla,Paquet,Apéritif
chocolat au lait,Gramme,Épicerie sucrée
chocolat blanc,Gramme,Épicerie sucrée
chocolat dulcey,Gramme,Épicerie sucrée
chocolat noir,Gramme,Épicerie sucrée
chocolat praliné,Gramme,Épicerie sucrée
chorizo,Gramme,Boucherie
chou blanc,Pièce,Légumes
chou chinois,Pièce,Légumes
chou de bruxelles,Gramme,Légumes
chou romanesco,Pièce,Légumes
chou rouge,Pièce,Légumes
chou vert,Pièce,Légumes
chou-fleur,Pièce,Légumes
choucroute,Gramme,Traiteur
ciabatta,Pièce,Boulangerie
ciboule,Botte,Légumes
ciboulette,Botte,Légumes
cidre,Bouteille,Boisson
citron,Pièce,Fruits
citron vert,Pièce,Fruits
citronnelle,Cuillère à soupe,Légumes
citrouille,Pièce,Légumes
clémentine,Pièce,Fruits
clou de girofle,Pièce,Épicerie salée
Coca cola 0,Bouteille,Boisson
coeur d'artichaut,Pot,Épicerie salée
coeur de palmier,Pot,Épicerie salée
coleslaw,Gramme,Traiteur
compote,Pièce,Épicerie sucrée
comté,Gramme,Crémerie
concentré de tomates,Cuillère à soupe,Épicerie salée
concombre,Pièce,Légumes
confit de canard,Pièce,Traiteur
confiture d'abricot,Pot,Épicerie sucrée
Confiture d'orange,Pot,Épicerie sucrée
confiture de fruits rouges,Pot,Épicerie sucrée
Confiture de rhubarbe,Pot,Épicerie sucrée
coppa,Gramme,Boucherie
coquille saint-jacques,Gramme,Poissonerie
coriandre,Botte,Légumes
corn flakes,Paquet,Épicerie sucrée
cornichon,Pot,Épicerie salée
coulis d'abricot,Bouteille,Épicerie sucrée
coulis de fruits rouges,Bouteille,Épicerie sucrée
coulis de tomate,Bouteille,Épicerie salée
courge,Pièce,Légumes
courgette,Pièce,Légumes
courgette ronde,Pièce,Légumes
cracker,Paquet,Apéritif
cream cheese,Gramme,Crémerie
crème anglaise,Millilitre,Crémerie
crème chantilly,Bouteille,Crémerie
crème fleurette,Millilitre,Crémerie
crème fraîche,Gramme,Crémerie
crème liquide,Millilitre,Crémerie
cresson,Botte,Légumes
crevette grise,Gramme,Poissonerie
croissant,Pièce,Boulangerie
crottin de chèvre,Pièce,Crémerie
croûtons,Sachet,Épicerie salée
crozet,Gramme,Épicerie salée
cuisse de canard,Pièce,Boucherie
cuisse de poulet,Pièce,Boucherie
cumin,Cuillère à café,Épicerie salée
curcuma,Cuillère à café,Épicerie salée
curry,Cuillère à café,Épicerie salée
danette,Pot,Crémerie
diot,Pièce,Boucherie
eau,Litre,Boisson
eau gazeuse,Litre,Boisson
échalote,Pièce,Légumes
edam,Gramme,Crémerie
emmental,Gramme,Crémerie
endive,Pièce,Légumes
épices cajun,Cuillère à café,Épicerie salée
épices espagnoles,Cuillère à café,Épicerie salée
épices tandoori,Cuillère à café,Épicerie salée
épinards frais,Gramme,Légumes
épinards surgelés,Gramme,Surgelés
escalope de dinde,Gramme,Boucherie
escalope de poulet,Gramme,Boucherie
escalope de veau,Gramme,Boucherie
estragon,Botte,Légumes
faisselle,Gramme,Crémerie
falafel,Pièce,Traiteur
farfalle,Gramme,Épicerie salée
farine (T45),Gramme,Épicerie sucrée
farine (T65),Gramme,Épicerie sucrée
farine complète,Gramme,Épicerie sucrée
farine de riz,Gramme,Épicerie sucrée
farine de sarrasin,Gramme,Épicerie sucrée
fécule de maïs,Gramme,Épicerie sucrée
fenouil,Pièce,Légumes
feta,Gramme,Crémerie
feuille de brick,Pièce,Traiteur
figue,Pièce,Fruits
filet mignon de porc,Gramme,Boucherie
flageolet,Gramme,Épicerie salée
Foie gras,Gramme,Traiteur
fourme d'ambert,Gramme,Crémerie
fraises,Gramme,Fruits
framboises,Gramme,Fruits
framboises surgelées,Gramme,Surgelés
frite,Gramme,Épicerie sucrée
fromage blanc,Gramme,Crémerie
fromage en tranche,Paquet,Crémerie
fromage fouetté,Pot,Crémerie
fromage râpé,Gramme,Crémerie
fruit de la passion,Pièce,Fruits
galette de sarrasin,Pièce,Traiteur
garam masala,Gramme,Produits du monde
